ELECTRICAL DISTRIBUTION & CONTROL EQUIPMENT SUMMARY
Hospital-wide inventory excluding elevator drive components

Equipment Type,Count,Percentage
Branch Panel,108,37.6%
Transformer,39,13.6%
Feeder Panel,39,13.6%
Disconnect,33,11.5%
LIM Panel,30,10.5%
Feeder Breaker,25,8.7%
Automatic Transfer Switch,8,2.8%
Main Breaker,3,1.0%
ECB,2,0.7%

TOTAL DISTRIBUTION EQUIPMENT,287,100.0%

Excluded from this summary:
  DC Output Filter (Elevator Components),5,N/A
  Resistor Box (Elevator Components),1,N/A

GRAND TOTAL - ALL EQUIPMENT,293,
