Floor,Room Number,Equipment Type,Equipment Name/Label,Amperage/kVA,Voltage,Phase/Wire,Fed From,Mounting,System Type,Notes
Ground,ZL0.904E,Feeder Panel,E HDP-EE1,800A,480Y/277V,3P4W,ATS-EE1,Switchboard,Emergency,
Ground,ZL0.904E,Feeder Panel,E HDP-EE2,800A,480Y/277V,3P4W,ATS-EE2,Switchboard,Emergency,
Ground,ZL0.904E,Feeder Panel,E HDP-CR,600A,480Y/277V,3P4W,ATS-CR,Switchboard,Emergency,
Ground,ZL0.904E,Main Breaker,EMSB MAIN,1200A,480Y/277V,3P4W,Emergency Generator,Switchboard,Emergency,
Ground,ZL0.904E,Feeder Breaker,ATS-EE1,800A,480Y/277V,3P4W,EMSB,Switchboard,Emergency,
Ground,ZL0.904E,Feeder Breaker,FP-2 ATS,800A,480Y/277V,3P4W,EMSB,Switchboard,Emergency,
Ground,ZL0.904E,Feeder Breaker,FP-1 ATS,800A,480Y/277V,3P4W,EMSB,Switchboard,Emergency,
Ground,ZL0.904E,Feeder Breaker,ATS-EE2,800A,480Y/277V,3P4W,EMSB,Switchboard,Emergency,
Ground,ZL0.904E,Feeder Breaker,ATS-CR,800A,480Y/277V,3P4W,EMSB,Switchboard,Emergency,
Ground,ZL0.904E,Feeder Breaker,ATS-LS,800A,480Y/277V,3P4W,EMSB,Switchboard,Emergency,
Ground,ZL0.904E,Feeder Breaker,ATS-OR,800A,480Y/277V,3P4W,EMSB,Switchboard,Emergency,
Ground,ZL0.904E,Feeder Breaker,ATS-CDPX,1600A,480Y/277V,3P4W,EMSB,Switchboard,Emergency,
Ground,ZL0.904E,Automatic Transfer Switch,ATS-EE1,600A,480Y/277V,3P4W,MSB-HB / EMSB,Wall-mounted,Emergency,
Ground,ZL0.904E,Automatic Transfer Switch,ATS-EE2,800A,480Y/277V,3P4W,MSB-HB / EMSB,Wall-mounted,Emergency,
Ground,ZL0.904E,Automatic Transfer Switch,ATS-CR,600A,480Y/277V,3P4W,MSB-HB / EMSB,Wall-mounted,Emergency,
Ground,ZL0.904E,Automatic Transfer Switch,ATS-LS,225A,480Y/277V,3P4W,MSB-HB / EMSB,Wall-mounted,Emergency,
Ground,ZL0.904E,Automatic Transfer Switch,ATS-OR,225A,480Y/277V,3P4W,MSB-HB / EMSB,Wall-mounted,Emergency,
Ground,ZL0.904E,Automatic Transfer Switch,ATS-CDPX,1200A,480Y/277V,3P4W,MSB-HB / EMSB,Wall-mounted,Emergency,
Ground,ZL0.904E1,Main Breaker,MSB-HB MAIN,4000A,480Y/277V,3P4W,Utility XFMR HB,Switchboard,Normal,
Ground,ZL0.904E1,Feeder Breaker,MDB-HB,800A,480Y/277V,3P4W,MSB-HB,Switchboard,Normal,
Ground,ZL0.904E1,Feeder Breaker,HDP-H1,800A,480Y/277V,3P4W,MSB-HB,Switchboard,Normal,
Ground,ZL0.904E1,Feeder Breaker,ATS-EE1,800A,480Y/277V,3P4W,MSB-HB,Switchboard,Normal,
Ground,ZL0.904E1,Feeder Breaker,HP-K,800A,480Y/277V,3P4W,MSB-HB,Switchboard,Normal,
Ground,ZL0.904E1,Feeder Breaker,HP-CP-B,800A,480Y/277V,3P4W,MSB-HB,Switchboard,Normal,
Ground,ZL0.904E1,Feeder Breaker,MD-PH,800A,480Y/277V,3P4W,MSB-HB,Switchboard,Normal,
Ground,ZL0.904E1,Feeder Breaker,MDA-HB,800A,480Y/277V,3P4W,MSB-HB,Switchboard,Normal,
Ground,ZL0.904E1,Feeder Breaker,HDP-PH,800A,480Y/277V,3P4W,MSB-HB,Switchboard,Normal,
Ground,ZL0.904E1,Feeder Breaker,ATS-CR,800A,480Y/277V,3P4W,MSB-HB,Switchboard,Normal,
Ground,ZL0.904E1,Feeder Breaker,ATS-OR,800A,480Y/277V,3P4W,MSB-HB,Switchboard,Normal,
Ground,ZL0.904E1,Feeder Breaker,ATS-CDPX,800A,480Y/277V,3P4W,MSB-HB,Switchboard,Normal,
Ground,ZL0.904E1,Transformer,T-GENSET1,30 kVA,480→208Y/120V,3P4W,T-GENSET1 PRI DISC,Wall-mounted,Emergency,
Ground,ZL0.904E1,Transformer,T-GENSET2,30 kVA,480→208Y/120V,3P4W,T-GENSET2 PRI DISC,Wall-mounted,Emergency,
Ground,ZL0.904E1,Disconnect,T-GENSET1 PRI DISC,60A,480Y/277V,3P3W,HP-CR-CP-A,Wall-mounted,Emergency,
Ground,ZL0.904E1,Disconnect,T-GENSET1 SEC DISC,100A,480Y/277V,3P4W,T-GENSET1,Wall-mounted,Emergency,
Ground,ZL0.904E1,Disconnect,T-GENSET2 PRI DISC,60A,480Y/277V,3P3W,HP-CR-CP-A,Wall-mounted,Emergency,
Ground,ZL0.904E1,Disconnect,T-GENSET2 SEC DISC,100A,480Y/277V,3P4W,T-GENSET2,Wall-mounted,Emergency,
