Floor,Room Number,Equipment Type,Equipment Name/Label,Amperage/kVA,Voltage,Phase/Wire,Fed From,Mounting,System Type,Notes
2nd Floor,ZL2.106,Transformer,T-LP-EQ-2B,30 kVA,480→208Y/120V,3P3W,HP-EQ-2B,Suspended,Emergency,
2nd Floor,ZL2.106,Branch Panel,LP-EQ-2B,100A,208Y/120V,3P4W,T-LP-EQ-2B,Wall-mounted,Emergency,
2nd Floor,ZL2.106,Feeder Panel,HP-EQ-2B,150A,480Y/277V,3P4W,EMDA-HB,Wall-mounted,Emergency,
2nd Floor,ZL2.406,Branch Panel,LP-LS-2A,100A,208Y/120V,3P4W,LDP-H1,Wall-mounted,Normal,
2nd Floor,ZL2.406,Feeder Panel,HP-LS-2A,100A,480Y/277V,3P4W,HDP-H1,Wall-mounted,Normal,
2nd Floor,ZL2.406,Transformer,T-LP-LS-2A,15 kVA,480→208Y/120V,3P3W,HP-LS-2A,Suspended,Emergency,
2nd Floor,ZL2.410,Branch Panel,LP-CR-2BB,100A,208Y/120V,3P4W,ELDP-CR-H1,Wall-mounted,Emergency,
2nd Floor,ZL2.410,Branch Panel,LP-2BB,100A,208Y/120V,3P4W,LDP-H2,Wall-mounted,Normal,
2nd Floor,ZL2.818A,Branch Panel,LP-EQ-2A,100A,208Y/120V,3P4W,T-LP-EQ-2A,Wall-mounted,Emergency,
2nd Floor,ZL2.818A,Feeder Panel,HP-EQ-2A,150A,480Y/277V,3P4W,EMDA-HB,Wall-mounted,Emergency,
2nd Floor,ZL2.818A,Branch Panel,LP-2A,100A,208Y/120V,3P4W,LDP-H1,Wall-mounted,Normal,
2nd Floor,ZL2.818A,Feeder Panel,HP-2A,100A,480Y/277V,3P4W,HDP-H1,Wall-mounted,Normal,
2nd Floor,ZL2.818A,Feeder Panel,HP-CR-2A,100A,480Y/277V,3P4W,EHDP-CR-H,Wall-mounted,Emergency,
2nd Floor,ZL2.818A,Branch Panel,LP-CR-2A,200A,208Y/120V,3P4W,ELDP-CR-H,Wall-mounted,Emergency,
2nd Floor,ZL2.818A,Branch Panel,LP-CR-2A SECTION 2,200A,208Y/120V,3P4W,LP-CR-2A,Wall-mounted,Emergency,
