⚡ Ground Floor — Complete Electrical Equipment Master List
Room Number	Equipment Type	Equipment Name / Label	Amperage / kVA	Voltage	Phase / Wire	Fed From	Mounting	Tag Color	Notes
Cyber	Transformer	T-LACC	45 kVA	480–208Y/120 V	3P3W	HP-LACC	Floor-mounted	White	Step-down transformer
Cyber	Transformer	T-LACC2	45 kVA	480–208Y/120 V	3P3W	HP-LACC	Suspended	White	Step-down transformer
Cyber	Branch Panel	HP-LACC	150 A	480Y/277 V	3P4W	MDA-HB	Wall-mounted	White	Normal branch panel
Cyber	Branch Panel	LP-LACC	150 A	208Y/120 V	3P4W	T-LACC	Wall-mounted	White	Normal branch panel
Cyber	Disconnect	SF-1	15 A	480Y/277 V	3P3W	HP-LACC	Wall-mounted	White	Supply fan disconnect
Cyber	Disconnect	EF-1	15 A	480Y/277 V	3P3W	HP-LACC	Wall-mounted	White	Exhaust fan disconnect
ZL0.802 — Mechanical Room G48	Transformer	T-LP-A	30 kVA	480–208Y/120 V	3P3W	HP-A	Floor-mounted	White	Step-down transformer
ZL0.802	Transformer	T-LP-EQ-A	30 kVA	480–208Y/120 V	3P3W	HP-EQ-A	Floor-mounted	Red	Emergency step-down
ZL0.802	Branch Panel	HP-A	150 A	480Y/277 V	3P4W	MDA-HB	Wall-mounted	White	Normal branch panel
ZL0.802	Branch Panel	HP-EQ-A	150 A	480Y/277 V	3P4W	EMDA-HB	Wall-mounted	Red	Emergency branch panel
ZL0.802	Branch Panel	LP-A	100 A	208Y/120 V	3P4W	T-LP-A	Wall-mounted	White	Normal branch panel
ZL0.802	Branch Panel	LP-EQ-A	100 A	208Y/120 V	3P4W	T-LP-EQ-A	Wall-mounted	Red	Emergency branch panel
ZL0.802	Disconnect	EF-3-17 DISC	15 A	480 V	3P3W	MDA-HB	Wall-mounted	White	Exhaust fan disconnect
ZL0.802	Disconnect	EF-3-14 DISC	15 A	480 V	3P3W	MDA-HB	Wall-mounted	White	Exhaust fan disconnect
ZL0.802	Disconnect	EF-3-10 DISC	15 A	480 V	3P3W	MDA-HB	Wall-mounted	White	Exhaust fan disconnect
ZL0.802	Disconnect	EF-3-5 DISC	15 A	480 V	3P3W	MDA-HB	Wall-mounted	White	Exhaust fan disconnect
ZL0.716 — Elevator Room #3	Disconnect	ELEV-8	100 A	480Y/277 V	3P3W	EMDA-HB	Wall-mounted	Red	Elevator #8
ZL0.716	Disconnect	ELEV-9	100 A	480Y/277 V	3P3W	EMDA-HB	Wall-mounted	Red	Elevator #9
ZL0.716	Disconnect	ELEV-10	100 A	480 V	3P3W	PNL MCCA/HB	Wall-mounted	White	Elevator #10
