MONTHLY PANEL VISUAL INSPECTION CHECKLIST

Floor,Room,Panel Name,Panel Type,Voltage,Inspection Date,Inspected By,Condition,Notes/Issues
TEP Plant,TEP Main Switch Electrical Room,HP-EQ-CP,Branch Panel,480Y/277V,,,,
TEP Plant,TEP Main Switch Electrical Room,LP-EQ-CP,Branch Panel,208Y/120V,,,,
TEP Plant,TEP Plant,HP-CR-CP,Branch Panel,480Y/277V,,,,
TEP Plant,TEP Plant,HP-CR-CP-A,Branch Panel,480Y/277V,,,,
TEP Plant,TEP Plant,HP-CP-A,Branch Panel,480Y/277V,,,,
TEP Plant,TEP Plant,HP-CP-B,Branch Panel,480Y/277V,,,,
TEP Plant,TEP Plant,LP-CR-CP,Branch Panel,208Y/120V,,,,
TEP Plant,TEP Plant,LP-CR-CP-B,Branch Panel,208Y/120V,,,,
TEP Plant,TEP Plant,LP-CP,Branch Panel,208Y/120V,,,,
TEP Plant,TEP Plant,LP-CP-2,Branch Panel,208Y/120V,,,,
TEP Plant,TEP Plant,EMD-CP,Feeder Panel,480Y/277V,,,,
Ground,Cyber,HP-LACC,Branch Panel,480Y/277V,,,,
Ground,Cyber,LP-LACC,Branch Panel,208Y/120V,,,,
Ground,ZL0.214,LDP-RAD,Branch Panel,208Y/120V,,,,
Ground,ZL0.214,HDP-RAD,Feeder Panel,480Y/277V,,,,
Ground,ZL0.506,HDP-RAD,Feeder Panel,480Y/277V,,,,
Ground,ZL0.602,HP-GA,Branch Panel,480Y/277V,,,,
Ground,ZL0.602,LP-CR-GB,Branch Panel,208Y/120V,,,,
Ground,ZL0.602,LP-GC,Branch Panel,208Y/120V,,,,
Ground,ZL0.602,LP-GA,Branch Panel,208Y/120V,,,,
Ground,ZL0.602,LP-GA Sec 2,Branch Panel,208Y/120V,,,,
Ground,ZL0.602,HDP-H1,Feeder Panel,480Y/277V,,,,
Ground,ZL0.602,HP-K,Feeder Panel,480Y/277V,,,,
Ground,ZL0.602,LDP-H1,Feeder Panel,208Y/120V,,,,
Ground,ZL0.602,DP-K,Feeder Panel,208Y/120V,,,,
Ground,ZL0.604,HP-CR-GB,Branch Panel,480Y/277V,,,,
Ground,ZL0.604,LP-LS-GB,Branch Panel,208Y/120V,,,,
Ground,ZL0.604,LP-LS-GA,Branch Panel,208Y/120V,,,,
Ground,ZL0.604,HP-LS-GA,Branch Panel,480Y/277V,,,,
Ground,ZL0.604,LP-CR-G3,Branch Panel,208Y/120V,,,,
Ground,ZL0.604,HP-CR-GA,Branch Panel,480Y/277V,,,,
Ground,ZL0.604,LP-CR-GA,Branch Panel,208Y/120V,,,,
Ground,ZL0.604,LP-CR-GA Sec 2,Branch Panel,208Y/120V,,,,
Ground,ZL0.604,EHDP-LS,Feeder Panel,480Y/277V,,,,
Ground,ZL0.604,EHDP-CR-H,Feeder Panel,480Y/277V,,,,
Ground,ZL0.604,ELDP-CR-H,Feeder Panel,208Y/120V,,,,
Ground,ZL0.704G,ELDP-CR-H2,Branch Panel,208Y/120V,,,,
Ground,ZL0.704G,HP-B,Branch Panel,480Y/277V,,,,
Ground,ZL0.704G,LP-B,Branch Panel,208Y/120V,,,,
Ground,ZL0.704G,HP-EQ-B,Branch Panel,480Y/277V,,,,
Ground,ZL0.704G,LP-EQ-B,Branch Panel,208Y/120V,,,,
Ground,ZL0.704G,EMDB-HB,Feeder Panel,480Y/277V,,,,
Ground,ZL0.704G,EMDB-HB Sec 2,Feeder Panel,480Y/277V,,,,
Ground,ZL0.704G,MDB-HB,Feeder Panel,480Y/277V,,,,
Ground,ZL0.704G,MDB-HB Sec 2,Feeder Panel,480Y/277V,,,,
Ground,ZL0.706,LP-CR-2,Branch Panel,208Y/120V,,,,
Ground,ZL0.706,LP-CR-GD,Branch Panel,208Y/120V,,,,
Ground,ZL0.706,LP-GD,Branch Panel,208Y/120V,,,,
Ground,ZL0.706,LP-GB,Branch Panel,208Y/120V,,,,
Ground,ZL0.706,LP-GB Sec 2,Branch Panel,208Y/120V,,,,
Ground,ZL0.706,EHDP-CR-X,Feeder Panel,480Y/277V,,,,
Ground,ZL0.802,HP-A,Branch Panel,480Y/277V,,,,
Ground,ZL0.802,HP-EQ-A,Branch Panel,480Y/277V,,,,
Ground,ZL0.802,LP-A,Branch Panel,208Y/120V,,,,
Ground,ZL0.802,LP-EQ-A,Branch Panel,208Y/120V,,,,
Ground,ZL0.904E,E HDP-EE1,Feeder Panel,480Y/277V,,,,
Ground,ZL0.904E,E HDP-EE2,Feeder Panel,480Y/277V,,,,
Ground,ZL0.904E,E HDP-CR,Feeder Panel,480Y/277V,,,,
2nd Floor,PROCEDURE 1,PROCEDURE 1,Branch Panel,208Y/120V,,,,
2nd Floor,PROCEDURE 2,PROCEDURE 2,Branch Panel,208Y/120V,,,,
2nd Floor,ZL2.106,LP-EQ-2B,Branch Panel,208Y/120V,,,,
2nd Floor,ZL2.106,HP-EQ-2B,Feeder Panel,480Y/277V,,,,
2nd Floor,ZL2.406,LP-LS-2A,Branch Panel,208Y/120V,,,,
2nd Floor,ZL2.406,HP-LS-2A,Feeder Panel,480Y/277V,,,,
2nd Floor,ZL2.410,LP-CR-2BB,Branch Panel,208Y/120V,,,,
2nd Floor,ZL2.410,LP-2BB,Branch Panel,208Y/120V,,,,
2nd Floor,ZL2.818A,LP-EQ-2A,Branch Panel,208Y/120V,,,,
2nd Floor,ZL2.818A,LP-2A,Branch Panel,208Y/120V,,,,
2nd Floor,ZL2.818A,LP-CR-2A,Branch Panel,208Y/120V,,,,
2nd Floor,ZL2.818A,LP-CR-2A SECTION 2,Branch Panel,208Y/120V,,,,
2nd Floor,ZL2.818A,HP-EQ-2A,Feeder Panel,480Y/277V,,,,
