Equipment Type,Count,Locations
Automatic Transfer Switch,8,Ground - ZL0.904E; TEP Plant - TEP Plant
Branch Panel,108,2nd Floor - PROCEDURE 1; 2nd Floor - PROCEDURE 2; 2nd Floor - ZL2.106; 2nd Floor - ZL2.406; 2nd Floor - ZL2.410...
DC Output Filter,5,9th Floor - 9th Floor Elevator Room 1
Disconnect,33,3rd Floor - ZL3.114; 9th Floor - 9th Floor Elevator Room 1; 9th Floor - 9th Floor Elevator Room 2; 9th Floor - Penthouse General Area; Ground - Cyber...
ECB,1,2nd Floor - ZL2.818A
Enclosed Breaker,1,Ground - ZL0.506
Feeder Breaker,25,Ground - ZL0.904E; Ground - ZL0.904E1; TEP Plant - TEP Main Switch Electrical Room
Feeder Panel,39,2nd Floor - ZL2.106; 2nd Floor - ZL2.406; 2nd Floor - ZL2.818A; 3rd Floor - ZL3.114; 9th Floor - 9th Floor Electrical Room...
LIM Panel,30,2nd Floor - OR-1; 2nd Floor - OR-10; 2nd Floor - OR-2; 2nd Floor - OR-3; 2nd Floor - OR-4...
Main Breaker,3,Ground - ZL0.904E; Ground - ZL0.904E1; TEP Plant - TEP Main Switch Electrical Room
Resistor Box,1,9th Floor - 9th Floor Elevator Room 1
Transformer,39,2nd Floor - ZL2.106; 2nd Floor - ZL2.406; 2nd Floor - ZL2.818A; 3rd Floor - ZL3.114; 5th Floor - ZL5.236...
